"classid","yearstea","mathknow","mathprep","schoolid"
"160",1,NA,2,"1"
"217",2,-0.11,3.25,"1"
"197",1,-1.25,2.5,"2"
"211",2,-0.72,2.33,"2"
"307",12.54,NA,2.3,"2"
"11",20,0.45,3.83,"3"
"137",5,0.99,2.25,"3"
"145",19,1.61,3,"3"
"228",8,1.14,2.17,"3"
"48",27,-1.05,2,"4"
"179",12,NA,2,"4"
"299",3,0.22,3.75,"5"
"254",1,-0.86,1.75,"6"
"286",24,-0.73,4,"6"
"291",19,-0.98,2.5,"6"
"89",13,1.53,2.33,"7"
"107",7,NA,2.5,"7"
"162",8,1.1,2.33,"7"
"280",13,-0.79,3.33,"7"
"147",6,-0.14,2,"8"
"265",6,-0.07,2,"8"
"279",22,0.28,1.5,"8"
"17",23,-1.05,1.25,"9"
"58",23,-0.42,1.17,"9"
"283",24,-0.43,3,"9"
"178",15,-1.06,3.25,"10"
"208",21,-0.48,2.5,"10"
"278",1,NA,2,"10"
"303",24,0.48,3.75,"10"
"86",6,0.12,4,"11"
"113",4,-0.42,2.5,"11"
"131",24,-0.13,2.25,"11"
"172",3,-0.52,2.24,"11"
"195",3,0.31,2.5,"11"
"201",1,-0.73,3,"11"
"233",27,-1.32,2,"11"
"285",2,-0.72,2,"11"
"293",4,-1.02,2.5,"11"
"20",6,0.32,3,"12"
"49",5,-0.84,1.5,"12"
"81",2,1.21,2,"12"
"251",16,NA,3.06,"12"
"302",25,-0.19,2.5,"12"
"64",20,0.12,2.5,"13"
"166",1,1.19,2,"13"
"41",17,0.86,5.25,"14"
"141",24,0.12,3,"14"
"167",22,-0.42,2,"14"
"5",14,0.15,1.33,"15"
"85",24,-0.7,6,"15"
"92",30,-0.34,2.25,"15"
"119",12,0.35,2.5,"15"
"260",5,-1.21,1,"15"
"206",12,0.89,2.3,"16"
"256",12,-0.48,4,"16"
"7",21,NA,2.83,"17"
"10",5,-1.26,3.25,"17"
"87",19,-0.42,2.5,"17"
"177",21,-2.31,3.33,"17"
"216",8,-1.42,3,"17"
"31",23,1.13,2.25,"18"
"98",1,-0.41,2.25,"19"
"110",30,-1.39,5.5,"19"
"170",2,-0.17,1.75,"19"
"30",19,-1.84,3.33,"20"
"94",5,-0.5,2.5,"20"
"101",6,-0.84,2.25,"20"
"6",8,-0.12,3.75,"21"
"130",14,-0.17,3.17,"21"
"158",12,-0.13,4.5,"21"
"159",0,-0.72,2,"22"
"43",14,-0.76,2.25,"23"
"47",3,0.12,2,"23"
"163",21,0.55,2.25,"23"
"55",27,-1.02,2.25,"24"
"77",31,-1.68,3,"24"
"93",5,0.72,2.25,"24"
"150",9,-0.79,2.5,"24"
"97",15,-0.77,2.17,"25"
"297",6,0.93,2,"25"
"78",4,0.61,2.25,"26"
"102",13,1.31,4.75,"26"
"139",0,0.59,2,"26"
"104",9,0.43,3,"27"
"190",6,0.15,2.17,"27"
"230",12,0.01,1,"27"
"262",3,-0.59,2,"27"
"114",26,-0.92,2,"28"
"118",5,-0.72,2,"28"
"202",27,0.74,3,"28"
"203",15,-0.6,1,"28"
"115",19,0.46,3.75,"29"
"223",10,0.28,2,"29"
"175",2,0.34,2,"30"
"51",14,NA,4,"31"
"156",8,-0.72,2,"31"
"234",12,1.18,5.25,"31"
"258",20,-1.21,2,"31"
"191",9,0.12,2,"32"
"204",18,-0.83,2.25,"32"
"252",24,-0.24,2,"32"
"26",19,-0.45,4.5,"33"
"32",1,NA,2.3,"33"
"88",2,-0.72,5.5,"33"
"100",19,0.12,4,"33"
"229",3,1.05,2.75,"33"
"2",2,0.58,3,"34"
"188",7,0.5,4.17,"34"
"56",3,0.71,5,"35"
"122",10,1.86,2,"35"
"63",1,-0.12,3,"36"
"180",14,0.48,1.5,"36"
"103",9,-1.53,2,"37"
"125",28,-0.28,3,"37"
"210",1,1.13,2,"37"
"249",5,-1.14,1.5,"37"
"16",2,-0.52,2.5,"38"
"309",14,NA,2.5,"38"
"79",2,-0.76,1.5,"39"
"198",2,-0.36,1.75,"39"
"274",20,NA,2,"39"
"288",7,-1.09,2.75,"39"
"9",1,-1.09,1.5,"40"
"257",6,-1.04,2.5,"40"
"18",28,-0.1,2.83,"41"
"50",29,-0.35,5.25,"41"
"142",11,-0.68,2.25,"41"
"54",0,-1.28,2,"42"
"70",20,1.65,2.75,"42"
"207",6,0.27,3,"42"
"296",14,0.61,2.5,"42"
"220",2,0.92,2.25,"43"
"227",1,2.61,2.25,"43"
"176",20,1.94,2.5,"44"
"219",4,1.31,2,"44"
"246",21,1.47,2.24,"44"
"268",11,-0.61,2,"44"
"300",25,0.64,3.25,"45"
"19",10,1.89,2,"46"
"69",11,0.03,2.67,"46"
"71",22,1.13,1.75,"46"
"133",2,NA,2.5,"46"
"240",18,-1.44,3.17,"46"
"61",2,-0.78,2.5,"47"
"82",25,1.57,3.17,"47"
"155",2,1.12,2,"47"
"153",5,NA,2,"48"
"105",20,-1.73,2.25,"49"
"212",6,-0.72,3.5,"49"
"25",6,-0.78,2,"50"
"127",18,-1.33,2,"50"
"289",7,0.92,2,"50"
"59",15,0.8,2,"51"
"255",7,1.91,1.67,"52"
"270",30,-0.61,3,"52"
"14",27,0.47,2,"53"
"149",32,0.22,2.5,"53"
"259",5,1.97,2,"54"
"301",2,1.61,2,"54"
"24",20,-0.19,2.5,"55"
"35",24,-0.27,2.25,"55"
"117",2,-0.76,4,"55"
"3",13,0.85,2.75,"56"
"168",13,0.24,3,"56"
"36",33,-0.26,3,"57"
"40",9,0.65,3.5,"57"
"171",19,0.57,2.5,"57"
"250",22,-0.41,3,"57"
"272",1,0.89,2.5,"57"
"12",28,NA,6,"58"
"34",5,-1.28,1.5,"59"
"108",8,0.02,1,"59"
"121",5,0.47,1,"60"
"242",5,-1.43,2,"60"
"1",2,-0.72,2.5,"61"
"124",1,-0.72,2,"61"
"192",0,0.89,2,"61"
"267",4,0.84,4.25,"61"
"22",13,0.89,2.74,"62"
"46",32,0.89,2.3,"62"
"310",24,0.96,2,"63"
"38",8,-0.42,3.5,"64"
"294",4,-0.51,2,"64"
"95",40,-1.36,5,"65"
"128",3,0.89,2.5,"65"
"284",2,-1.07,3.75,"65"
"91",29,-0.54,2.17,"66"
"218",16,0,2.75,"66"
"269",29,0.75,3,"66"
"4",5,1.08,5.33,"67"
"73",17,-1.02,3.5,"67"
"245",18,-0.66,1,"67"
"57",23,0.04,1.5,"68"
"244",16,-0.07,6,"68"
"263",7,-0.75,2,"68"
"271",23,-1.06,3.17,"68"
"298",26,-0.71,1.67,"68"
"90",0,-0.52,2,"69"
"290",6,-0.72,2,"69"
"83",3,-1.28,2,"70"
"146",5,1.15,2.33,"70"
"152",6,-0.3,3.25,"70"
"261",0,0.12,2.5,"70"
"311",3,-1.22,4.5,"70"
"80",8,1.24,2.5,"71"
"120",31,0.45,2,"71"
"209",3,0.51,3,"71"
"264",5,1.25,1.83,"71"
"304",10,-0.01,3.83,"71"
"29",19,0.12,2.5,"72"
"148",26,-0.67,3,"72"
"243",4,-0.38,2,"72"
"213",16,1.62,2.5,"73"
"276",18,NA,2.3,"73"
"232",34,-1.64,3,"74"
"295",34,-0.03,3.83,"74"
"39",6,-1.46,1.83,"75"
"42",2,-0.19,2.5,"75"
"154",2,0.06,2,"75"
"181",1,-0.27,2,"75"
"8",8,0.41,3,"76"
"28",21,2.14,2.3,"76"
"136",29,0.85,2.33,"76"
"277",13,0.89,2.3,"76"
"287",5,2.61,3.25,"76"
"27",7,-0.75,1,"77"
"53",12.54,NA,2.3,"77"
"189",29,-0.47,5,"77"
"305",5,-0.66,2.25,"77"
"13",13,0.62,2,"78"
"111",2,NA,1.5,"78"
"183",0,-0.52,2,"78"
"23",4,0.12,2,"79"
"112",2,-1.56,2,"79"
"253",2,-1.28,2.5,"79"
"222",9,-1.04,2.42,"80"
"308",13,0.96,4,"80"
"116",11,1.96,2.5,"81"
"174",11,1.75,2,"81"
"164",7,NA,2,"82"
"169",20,1.95,2.25,"82"
"184",1,0.89,2.25,"82"
"225",3,-1.12,2.5,"82"
"165",11,1.5,6,"83"
"235",10,-0.35,3.5,"83"
"76",2,-1.89,2,"84"
"143",2,NA,1.5,"84"
"161",1,-0.69,1.5,"84"
"66",28,1.44,2.17,"85"
"84",23,-0.52,4,"85"
"157",30,NA,2,"85"
"186",1,0.28,2.75,"85"
"196",16,-0.27,2,"85"
"65",16,1.5,3.25,"86"
"132",2,0,2.5,"86"
"275",9,-1.21,2.5,"86"
"21",1,0.19,4,"87"
"72",1,-0.23,2,"87"
"106",21,-0.4,1.5,"87"
"187",4,-1.2,4.5,"87"
"67",8,-0.64,2,"88"
"312",5,-1.37,2,"88"
"292",1,-0.73,1,"89"
"52",13,-0.09,2,"90"
"238",27,0.96,4,"90"
"15",12.54,NA,2.3,"91"
"45",10,-0.76,1,"91"
"151",10,-0.64,1.25,"91"
"231",9,-0.14,1,"91"
"173",3,0.1,2.5,"92"
"199",14,-0.65,2.25,"92"
"248",33,-0.61,2,"92"
"123",26,2.61,2.5,"93"
"126",10,-0.82,2.5,"93"
"182",10,NA,2,"93"
"194",12.54,NA,2.3,"93"
"134",8,-0.52,3,"94"
"224",22,-2.5,3,"94"
"282",18,0.12,1,"94"
"306",18,1.55,1,"94"
"140",10,-1.39,2,"95"
"144",2,0.12,2,"95"
"109",20,NA,2.3,"96"
"185",26,-0.72,2.17,"96"
"237",0,-0.72,2,"96"
"75",12,0.44,2.5,"97"
"221",5,-1.35,2.5,"98"
"205",28,2.33,1.58,"99"
"214",17,-1.39,3.17,"99"
"226",14,NA,3,"99"
"236",14,0.59,1.17,"99"
"266",17,NA,4,"99"
"74",4,-1.28,1.5,"100"
"99",25,-2.34,2.3,"100"
"135",18,NA,2,"100"
"281",13,-1.74,3.5,"100"
"68",4,-0.8,2.5,"101"
"138",2,0.73,2.75,"101"
"215",0,-1.28,2.5,"101"
"273",31,-1.7,3.75,"101"
"44",34,-1.28,2,"102"
"241",3,-1.25,1.83,"102"
"37",4,-1.79,4.5,"103"
"193",2,-0.55,4,"103"
"247",5,-0.3,2.25,"103"
"60",25,0.89,2,"104"
"129",36,1.04,3.75,"104"
"33",34,-1.57,3,"105"
"200",9,1.3,2.25,"105"
"62",6,-0.48,2.5,"106"
"96",12,1.45,2.67,"107"
"239",25,0.5,2,"107"
