"childid","schoolid","classid","sex","minority","mathkind","mathgain","ses"
"1","1","160","F","Mnrt=Yes",448,32,0.46
"2","1","160","M","Mnrt=Yes",460,109,-0.27
"3","1","160","F","Mnrt=Yes",511,56,-0.03
"4","1","217","M","Mnrt=Yes",449,83,-0.38
"5","1","217","M","Mnrt=Yes",425,53,-0.03
"6","1","217","F","Mnrt=Yes",450,65,0.76
"7","1","217","M","Mnrt=Yes",452,51,-0.03
"8","1","217","M","Mnrt=Yes",443,66,0.2
"9","1","217","F","Mnrt=Yes",422,88,0.64
"10","1","217","M","Mnrt=Yes",480,-7,0.13
"11","1","217","M","Mnrt=Yes",502,60,0.83
"12","2","197","F","Mnrt=Yes",502,-2,0.06
"13","2","197","M","Mnrt=No",430,101,0.3
"14","2","211","M","Mnrt=No",526,30,-0.27
"15","2","211","M","Mnrt=No",504,65,0.74
"16","2","211","F","Mnrt=No",527,29,0.31
"17","2","211","F","Mnrt=No",462,152,1.1
"18","2","307","M","Mnrt=No",483,50,0.52
"19","2","307","F","Mnrt=Yes",516,60,-1.15
"20","2","307","M","Mnrt=Yes",476,74,0
"21","2","307","M","Mnrt=Yes",453,91,0.39
"22","3","11","M","Mnrt=No",494,68,-0.06
"23","3","11","M","Mnrt=No",416,94,-0.26
"24","3","11","M","Mnrt=No",456,120,0.64
"25","3","11","F","Mnrt=No",445,58,-0.37
"26","3","137","M","Mnrt=No",446,123,0.54
"27","3","137","F","Mnrt=No",479,88,2.21
"28","3","145","M","Mnrt=Yes",474,60,-0.43
"29","3","145","M","Mnrt=No",453,152,0.41
"30","3","145","M","Mnrt=No",494,96,0.06
"31","3","145","F","Mnrt=No",529,57,-0.09
"32","3","145","M","Mnrt=Yes",461,115,1.58
"33","3","228","M","Mnrt=No",482,58,0.12
"34","3","228","M","Mnrt=No",475,51,-0.35
"35","3","228","M","Mnrt=No",464,104,0.9
"36","4","48","F","Mnrt=Yes",496,65,-1.03
"37","4","48","F","Mnrt=Yes",443,64,-0.8
"38","4","48","M","Mnrt=Yes",455,59,1.04
"39","4","48","M","Mnrt=Yes",447,70,-0.3
"40","4","179","F","Mnrt=Yes",501,63,0.9
"41","4","179","M","Mnrt=Yes",434,-110,-0.37
"42","5","299","F","Mnrt=Yes",462,73,-0.03
"43","5","299","M","Mnrt=Yes",444,100,-0.03
"44","5","299","F","Mnrt=Yes",472,-9,-1.39
"45","5","299","F","Mnrt=Yes",450,67,-1.25
"46","5","299","M","Mnrt=Yes",463,58,-0.28
"47","5","299","F","Mnrt=Yes",381,72,0.41
"48","6","254","F","Mnrt=Yes",447,88,0.01
"49","6","254","M","Mnrt=No",504,115,-0.31
"50","6","286","M","Mnrt=Yes",483,62,-1.43
"51","6","286","F","Mnrt=No",459,42,-0.73
"52","6","286","M","Mnrt=No",472,88,1.31
"53","6","286","F","Mnrt=No",475,71,0.09
"54","6","286","M","Mnrt=Yes",468,74,0.35
"55","6","286","M","Mnrt=No",467,67,-0.02
"56","6","291","F","Mnrt=Yes",418,74,0.79
"57","6","291","F","Mnrt=Yes",415,87,-0.69
"58","6","291","M","Mnrt=Yes",444,83,-0.44
"59","6","291","M","Mnrt=Yes",433,93,0.29
"60","7","89","M","Mnrt=No",427,56,-1.3
"61","7","89","F","Mnrt=No",428,40,-0.32
"62","7","89","F","Mnrt=No",429,69,0.57
"63","7","107","F","Mnrt=No",497,75,-0.03
"64","7","107","F","Mnrt=Yes",422,57,0.94
"65","7","107","F","Mnrt=Yes",487,23,-1.02
"66","7","107","M","Mnrt=Yes",435,53,-0.88
"67","7","162","F","Mnrt=No",411,114,-0.78
"68","7","162","F","Mnrt=No",396,56,-0.98
"69","7","280","M","Mnrt=No",462,55,1.41
"70","7","280","F","Mnrt=No",463,28,-0.35
"71","7","280","M","Mnrt=Yes",444,61,-1.15
"72","7","280","F","Mnrt=No",451,59,-0.46
"73","7","280","F","Mnrt=No",437,57,-0.21
"74","8","147","M","Mnrt=Yes",484,85,0.62
"75","8","147","M","Mnrt=Yes",488,28,0.18
"76","8","147","F","Mnrt=Yes",475,166,-0.14
"77","8","147","M","Mnrt=Yes",544,61,1.11
"78","8","147","F","Mnrt=Yes",467,47,-0.79
"79","8","265","F","Mnrt=Yes",509,62,0.86
"80","8","265","F","Mnrt=Yes",489,35,-0.11
"81","8","265","F","Mnrt=Yes",448,52,0.15
"82","8","265","M","Mnrt=Yes",516,70,0.28
"83","8","279","M","Mnrt=Yes",489,11,-1.37
"84","8","279","M","Mnrt=Yes",519,37,1.34
"85","8","279","M","Mnrt=No",517,36,-0.16
"86","8","279","F","Mnrt=Yes",552,13,0.69
"87","8","279","M","Mnrt=No",475,6,0.2
"88","8","279","F","Mnrt=Yes",535,21,0.39
"89","8","279","F","Mnrt=Yes",472,26,1.34
"90","9","17","F","Mnrt=Yes",497,22,-0.11
"91","9","17","M","Mnrt=Yes",542,26,-0.03
"92","9","17","M","Mnrt=Yes",422,74,1
"93","9","58","F","Mnrt=Yes",482,41,-0.03
"94","9","283","M","Mnrt=Yes",459,13,0
"95","9","283","F","Mnrt=Yes",450,33,-1.45
"96","10","178","M","Mnrt=Yes",376,102,-0.3
"97","10","178","F","Mnrt=Yes",460,72,-0.38
"98","10","208","F","Mnrt=Yes",473,44,-0.82
"99","10","208","M","Mnrt=Yes",428,78,-0.97
"100","10","208","M","Mnrt=Yes",437,48,-0.94
"101","10","208","M","Mnrt=Yes",436,90,-1.27
"102","10","278","F","Mnrt=Yes",449,78,-1.09
"103","10","278","M","Mnrt=Yes",477,107,0.19
"104","10","278","F","Mnrt=Yes",477,67,-0.1
"105","10","278","F","Mnrt=Yes",410,75,-0.21
"106","10","278","M","Mnrt=Yes",439,69,0.15
"107","10","278","M","Mnrt=Yes",463,51,1.7
"108","10","278","F","Mnrt=Yes",456,70,-0.58
"109","10","278","M","Mnrt=Yes",433,103,-1
"110","10","303","M","Mnrt=Yes",433,90,-0.45
"111","10","303","M","Mnrt=Yes",427,85,-0.37
"112","10","303","F","Mnrt=Yes",444,55,-1.21
"113","10","303","F","Mnrt=Yes",426,65,-1.45
"114","11","86","F","Mnrt=No",526,44,0.83
"115","11","86","M","Mnrt=Yes",494,66,1.42
"116","11","86","M","Mnrt=No",494,58,2.15
"117","11","86","F","Mnrt=No",479,90,0.56
"118","11","86","F","Mnrt=No",538,35,-0.66
"119","11","113","F","Mnrt=No",484,84,0.9
"120","11","113","M","Mnrt=No",576,8,-0.07
"121","11","113","F","Mnrt=No",485,58,0.4
"122","11","131","M","Mnrt=No",535,22,1.31
"123","11","131","F","Mnrt=No",467,77,-0.27
"124","11","172","M","Mnrt=No",505,25,-0.01
"125","11","172","F","Mnrt=No",480,22,0.27
"126","11","172","F","Mnrt=No",629,-35,0.07
"127","11","172","F","Mnrt=No",488,38,0.94
"128","11","195","F","Mnrt=Yes",509,28,0.63
"129","11","195","F","Mnrt=No",493,77,0.41
"130","11","195","M","Mnrt=No",470,69,-0.32
"131","11","195","M","Mnrt=No",529,62,2.06
"132","11","201","F","Mnrt=No",468,38,-0.02
"133","11","201","F","Mnrt=Yes",514,18,0.03
"134","11","201","F","Mnrt=No",465,67,0.21
"135","11","201","F","Mnrt=No",511,20,1.06
"136","11","201","M","Mnrt=Yes",461,42,-1.17
"137","11","233","M","Mnrt=No",496,54,0.71
"138","11","285","F","Mnrt=No",499,111,0.61
"139","11","285","F","Mnrt=No",454,68,-0.34
"140","11","285","F","Mnrt=No",527,38,0.1
"141","11","293","F","Mnrt=No",516,51,0.8
"142","11","293","M","Mnrt=Yes",434,94,-0.77
"143","11","293","F","Mnrt=No",499,39,1.32
"144","11","293","M","Mnrt=No",469,96,0.03
"145","12","20","M","Mnrt=Yes",424,36,-0.03
"146","12","20","M","Mnrt=Yes",485,58,-0.03
"147","12","20","F","Mnrt=Yes",463,53,0.59
"148","12","49","M","Mnrt=Yes",427,63,0.45
"149","12","49","M","Mnrt=Yes",401,74,-0.22
"150","12","49","F","Mnrt=Yes",486,23,0.61
"151","12","49","F","Mnrt=Yes",522,12,-0.03
"152","12","49","M","Mnrt=Yes",450,53,-0.03
"153","12","49","M","Mnrt=Yes",408,104,-0.03
"154","12","81","M","Mnrt=Yes",493,27,1.12
"155","12","81","F","Mnrt=Yes",417,46,-0.03
"156","12","81","M","Mnrt=Yes",428,95,-0.03
"157","12","81","F","Mnrt=Yes",453,50,-0.6
"158","12","81","F","Mnrt=Yes",435,84,-0.03
"159","12","81","F","Mnrt=Yes",450,40,-0.6
"160","12","81","F","Mnrt=Yes",464,59,-0.03
"161","12","81","F","Mnrt=Yes",433,91,-0.42
"162","12","251","M","Mnrt=Yes",429,111,0.73
"163","12","251","F","Mnrt=Yes",497,41,0.88
"164","12","251","M","Mnrt=Yes",430,18,0.26
"165","12","302","F","Mnrt=Yes",535,28,0.07
"166","12","302","M","Mnrt=Yes",535,5,0.18
"167","12","302","F","Mnrt=Yes",508,67,1.64
"168","12","302","M","Mnrt=Yes",459,59,-0.03
"169","12","302","M","Mnrt=Yes",474,45,0.73
"170","12","302","M","Mnrt=Yes",491,47,-0.03
"171","12","302","F","Mnrt=Yes",491,26,1.32
"172","13","64","M","Mnrt=Yes",433,52,0.86
"173","13","64","F","Mnrt=No",462,32,0.58
"174","13","64","F","Mnrt=No",462,44,-0.76
"175","13","64","F","Mnrt=No",506,41,-0.24
"176","13","64","M","Mnrt=No",477,98,0.01
"177","13","166","F","Mnrt=No",466,59,0.29
"178","13","166","M","Mnrt=No",529,-11,0.08
"179","13","166","F","Mnrt=No",499,35,-0.19
"180","13","166","M","Mnrt=Yes",481,79,0.31
"181","14","41","M","Mnrt=Yes",470,26,-0.37
"182","14","41","M","Mnrt=Yes",519,-11,-0.14
"183","14","41","F","Mnrt=Yes",441,23,0.05
"184","14","41","M","Mnrt=Yes",436,88,0.29
"185","14","41","F","Mnrt=Yes",431,52,-1.12
"186","14","141","M","Mnrt=Yes",515,13,0.24
"187","14","141","M","Mnrt=Yes",467,32,-0.42
"188","14","141","F","Mnrt=Yes",455,19,-0.3
"189","14","141","F","Mnrt=Yes",415,62,-0.2
"190","14","141","M","Mnrt=Yes",477,69,0.09
"191","14","167","M","Mnrt=Yes",490,71,0.01
"192","14","167","M","Mnrt=Yes",521,25,0.06
"193","14","167","M","Mnrt=Yes",437,90,0.03
"194","14","167","M","Mnrt=Yes",526,41,-0.39
"195","14","167","F","Mnrt=Yes",434,65,0.34
"196","15","5","M","Mnrt=Yes",342,182,-0.24
"197","15","85","F","Mnrt=Yes",404,79,0.73
"198","15","85","F","Mnrt=Yes",457,36,0.07
"199","15","85","F","Mnrt=No",457,47,-0.37
"200","15","85","F","Mnrt=Yes",397,103,-0.35
"201","15","85","M","Mnrt=No",422,91,-0.29
"202","15","85","M","Mnrt=Yes",424,113,-0.91
"203","15","85","M","Mnrt=Yes",439,98,0.23
"204","15","92","F","Mnrt=Yes",449,94,-0.48
"205","15","119","M","Mnrt=Yes",506,39,0.97
"206","15","260","M","Mnrt=Yes",533,33,-0.97
"207","15","260","F","Mnrt=Yes",446,38,-1.01
"208","15","260","M","Mnrt=Yes",521,22,-0.76
"209","16","206","M","Mnrt=Yes",412,118,1.46
"210","16","206","F","Mnrt=Yes",474,83,0.68
"211","16","206","F","Mnrt=Yes",447,78,0.05
"212","16","206","M","Mnrt=Yes",441,74,-1.52
"213","16","206","F","Mnrt=Yes",411,90,-0.02
"214","16","256","F","Mnrt=Yes",390,108,-0.44
"215","17","7","M","Mnrt=Yes",429,51,-1.03
"216","17","10","F","Mnrt=Yes",381,143,-0.49
"217","17","10","M","Mnrt=Yes",419,69,-1.35
"218","17","87","M","Mnrt=Yes",441,54,-0.49
"219","17","177","M","Mnrt=Yes",379,129,-0.51
"220","17","177","F","Mnrt=Yes",434,65,1.04
"221","17","177","M","Mnrt=Yes",416,57,-0.72
"222","17","216","M","Mnrt=Yes",403,49,-0.69
"223","17","216","M","Mnrt=Yes",457,62,-0.93
"224","18","31","M","Mnrt=Yes",419,71,-0.61
"225","18","31","F","Mnrt=No",409,75,0.57
"226","18","31","M","Mnrt=No",290,164,-0.14
"227","18","31","F","Mnrt=No",440,49,-0.03
"228","19","98","M","Mnrt=Yes",431,80,-0.18
"229","19","98","M","Mnrt=Yes",437,37,-0.85
"230","19","98","M","Mnrt=Yes",477,45,-0.13
"231","19","98","M","Mnrt=Yes",416,56,1.56
"232","19","98","F","Mnrt=Yes",455,50,-0.16
"233","19","110","F","Mnrt=Yes",470,24,-0.36
"234","19","110","M","Mnrt=Yes",456,101,-0.15
"235","19","110","F","Mnrt=Yes",422,31,-0.61
"236","19","110","F","Mnrt=Yes",484,51,1.22
"237","19","170","F","Mnrt=Yes",463,57,0.29
"238","19","170","F","Mnrt=Yes",398,79,-0.66
"239","20","30","F","Mnrt=Yes",445,72,-0.8
"240","20","30","F","Mnrt=Yes",484,29,-0.58
"241","20","30","F","Mnrt=Yes",393,47,-0.51
"242","20","30","F","Mnrt=Yes",447,68,-1.01
"243","20","94","M","Mnrt=Yes",429,67,-0.47
"244","20","94","M","Mnrt=Yes",453,41,-0.64
"245","20","94","F","Mnrt=Yes",508,63,-0.24
"246","20","94","F","Mnrt=Yes",462,97,0.61
"247","20","94","M","Mnrt=Yes",435,67,-0.63
"248","20","94","M","Mnrt=Yes",485,43,-0.4
"249","20","101","M","Mnrt=Yes",484,68,-0.98
"250","20","101","F","Mnrt=Yes",417,79,-1.16
"251","21","6","M","Mnrt=Yes",431,36,-0.32
"252","21","6","M","Mnrt=Yes",454,23,-0.03
"253","21","6","M","Mnrt=No",452,34,0.28
"254","21","6","F","Mnrt=Yes",448,44,0.31
"255","21","6","F","Mnrt=No",405,60,0.33
"256","21","130","M","Mnrt=Yes",460,86,0.2
"257","21","130","M","Mnrt=Yes",435,24,-0.44
"258","21","130","M","Mnrt=Yes",461,73,0.68
"259","21","130","M","Mnrt=No",434,75,0.1
"260","21","158","M","Mnrt=Yes",494,46,0.25
"261","21","158","M","Mnrt=Yes",443,87,0.51
"262","21","158","M","Mnrt=Yes",524,49,0.08
"263","21","158","M","Mnrt=Yes",437,67,0.53
"264","21","158","M","Mnrt=Yes",392,91,-0.8
"265","21","158","M","Mnrt=Yes",457,28,-0.16
"266","21","158","F","Mnrt=No",431,102,-1.1
"267","21","158","F","Mnrt=Yes",494,39,0.37
"268","22","159","M","Mnrt=Yes",433,46,-1.44
"269","22","159","F","Mnrt=Yes",449,48,0.47
"270","22","159","F","Mnrt=Yes",447,39,0.31
"271","22","159","F","Mnrt=Yes",462,25,-0.3
"272","23","43","M","Mnrt=Yes",459,82,-0.89
"273","23","43","F","Mnrt=Yes",495,34,0.59
"274","23","43","M","Mnrt=Yes",483,43,-0.78
"275","23","47","F","Mnrt=Yes",462,117,-0.81
"276","23","163","M","Mnrt=Yes",447,74,-0.75
"277","24","55","F","Mnrt=Yes",497,30,-0.33
"278","24","55","F","Mnrt=Yes",494,-2,0.19
"279","24","55","F","Mnrt=Yes",427,65,0.68
"280","24","55","F","Mnrt=Yes",447,30,-0.17
"281","24","55","F","Mnrt=Yes",477,0,-0.87
"282","24","77","M","Mnrt=Yes",539,-16,1.57
"283","24","93","F","Mnrt=Yes",431,106,-0.34
"284","24","150","F","Mnrt=Yes",496,88,0.21
"285","25","97","F","Mnrt=Yes",443,38,-0.03
"286","25","97","F","Mnrt=Yes",469,27,0.03
"287","25","297","F","Mnrt=Yes",374,59,-0.4
"288","25","297","F","Mnrt=Yes",513,-6,-0.76
"289","25","297","F","Mnrt=Yes",450,34,-0.03
"290","25","297","M","Mnrt=Yes",447,7,0.53
"291","25","297","M","Mnrt=Yes",450,39,-0.64
"292","26","78","M","Mnrt=Yes",439,97,0.67
"293","26","78","M","Mnrt=Yes",480,56,-0.03
"294","26","78","F","Mnrt=Yes",497,56,-1.37
"295","26","78","F","Mnrt=Yes",482,43,-0.25
"296","26","78","M","Mnrt=Yes",409,71,0.35
"297","26","78","F","Mnrt=Yes",466,42,-0.53
"298","26","78","M","Mnrt=Yes",439,88,-0.32
"299","26","78","M","Mnrt=Yes",430,86,1.04
"300","26","102","F","Mnrt=Yes",470,41,0.4
"301","26","102","M","Mnrt=Yes",476,43,-0.03
"302","26","102","M","Mnrt=Yes",481,78,-1.35
"303","26","139","M","Mnrt=Yes",443,65,-0.03
"304","26","139","F","Mnrt=Yes",415,-2,-0.03
"305","26","139","F","Mnrt=Yes",503,41,0.54
"306","26","139","M","Mnrt=Yes",468,64,0.21
"307","27","104","M","Mnrt=No",515,30,1.02
"308","27","104","M","Mnrt=No",505,48,1.14
"309","27","104","M","Mnrt=No",440,44,0.51
"310","27","104","M","Mnrt=No",454,25,-0.63
"311","27","104","M","Mnrt=No",520,69,0.36
"312","27","104","F","Mnrt=No",542,138,2.27
"313","27","190","F","Mnrt=No",498,81,0.52
"314","27","190","F","Mnrt=No",495,41,-0.39
"315","27","190","M","Mnrt=No",491,54,-0.18
"316","27","190","F","Mnrt=No",499,88,-0.38
"317","27","190","F","Mnrt=No",450,56,-0.2
"318","27","190","M","Mnrt=No",471,82,-0.06
"319","27","190","F","Mnrt=No",497,78,0.45
"320","27","190","M","Mnrt=No",568,19,1.28
"321","27","230","M","Mnrt=No",509,24,0.63
"322","27","230","F","Mnrt=No",544,3,0.02
"323","27","262","M","Mnrt=No",536,42,-0.01
"324","27","262","M","Mnrt=No",510,67,0.29
"325","27","262","F","Mnrt=No",408,76,0.8
"326","27","262","M","Mnrt=No",471,54,0.05
"327","27","262","F","Mnrt=No",513,113,2.18
"328","28","114","M","Mnrt=Yes",544,-5,0.4
"329","28","114","F","Mnrt=Yes",464,33,-1.45
"330","28","114","F","Mnrt=Yes",467,47,-1.1
"331","28","114","M","Mnrt=Yes",397,50,0
"332","28","118","M","Mnrt=Yes",414,71,0.36
"333","28","202","M","Mnrt=Yes",511,11,-0.95
"334","28","202","M","Mnrt=Yes",524,2,0.22
"335","28","202","F","Mnrt=Yes",454,10,-0.67
"336","28","203","F","Mnrt=Yes",478,49,0.22
"337","28","203","F","Mnrt=Yes",290,197,-0.46
"338","29","115","F","Mnrt=No",493,39,0.45
"339","29","115","F","Mnrt=No",483,89,-0.06
"340","29","115","M","Mnrt=Yes",490,56,-0.72
"341","29","115","F","Mnrt=Yes",489,34,-0.85
"342","29","223","F","Mnrt=Yes",505,17,-0.05
"343","29","223","M","Mnrt=No",452,87,1.04
"344","29","223","F","Mnrt=Yes",536,-7,-0.35
"345","29","223","F","Mnrt=No",537,42,-0.72
"346","30","175","M","Mnrt=Yes",475,13,0.83
"347","30","175","F","Mnrt=Yes",451,29,-0.1
"348","30","175","M","Mnrt=Yes",401,41,-0.37
"349","31","51","F","Mnrt=Yes",497,-2,-0.05
"350","31","51","M","Mnrt=Yes",406,64,-0.35
"351","31","51","M","Mnrt=Yes",460,41,-0.05
"352","31","51","F","Mnrt=Yes",432,18,-0.48
"353","31","51","F","Mnrt=Yes",414,61,-0.78
"354","31","51","M","Mnrt=Yes",370,91,-0.8
"355","31","156","M","Mnrt=Yes",405,94,-0.25
"356","31","156","M","Mnrt=Yes",454,31,0.02
"357","31","156","M","Mnrt=Yes",454,55,0.25
"358","31","156","F","Mnrt=Yes",471,14,-0.72
"359","31","156","F","Mnrt=Yes",463,43,-0.23
"360","31","156","F","Mnrt=Yes",448,70,1.06
"361","31","234","M","Mnrt=Yes",480,76,-0.88
"362","31","234","F","Mnrt=Yes",467,25,-0.12
"363","31","234","F","Mnrt=Yes",495,45,-0.38
"364","31","234","F","Mnrt=Yes",451,44,1.34
"365","31","234","F","Mnrt=Yes",370,163,-0.96
"366","31","234","F","Mnrt=Yes",435,97,0.01
"367","31","234","F","Mnrt=Yes",410,84,-0.03
"368","31","258","F","Mnrt=Yes",451,-20,0.39
"369","31","258","F","Mnrt=Yes",487,13,-0.42
"370","31","258","M","Mnrt=Yes",453,7,-0.53
"371","32","191","M","Mnrt=Yes",470,100,0.01
"372","32","204","F","Mnrt=Yes",488,61,0.6
"373","32","204","F","Mnrt=Yes",561,3,1.06
"374","32","252","F","Mnrt=Yes",452,92,0.49
"375","32","252","M","Mnrt=Yes",516,32,-0.5
"376","32","252","F","Mnrt=Yes",470,68,0.54
"377","32","252","F","Mnrt=Yes",515,56,-0.36
"378","32","252","M","Mnrt=Yes",492,74,-0.74
"379","32","252","F","Mnrt=Yes",529,-12,-0.03
"380","33","26","F","Mnrt=Yes",398,65,-0.12
"381","33","26","F","Mnrt=Yes",453,49,-0.72
"382","33","26","F","Mnrt=Yes",523,47,-0.29
"383","33","26","F","Mnrt=Yes",440,94,-0.03
"384","33","26","M","Mnrt=Yes",419,102,0.01
"385","33","26","M","Mnrt=Yes",395,103,-0.09
"386","33","26","M","Mnrt=Yes",483,32,-1.17
"387","33","26","F","Mnrt=Yes",439,100,0.6
"388","33","26","F","Mnrt=Yes",498,53,1.32
"389","33","26","F","Mnrt=Yes",478,96,0.99
"390","33","32","M","Mnrt=Yes",508,-20,-0.4
"391","33","32","F","Mnrt=Yes",496,29,1.17
"392","33","32","M","Mnrt=Yes",448,101,-0.31
"393","33","32","F","Mnrt=Yes",483,12,-0.03
"394","33","88","M","Mnrt=Yes",476,27,0.2
"395","33","88","F","Mnrt=Yes",485,16,0.08
"396","33","100","F","Mnrt=Yes",443,39,-1.32
"397","33","229","M","Mnrt=Yes",423,62,-0.4
"398","33","229","M","Mnrt=Yes",380,118,-0.01
"399","33","229","F","Mnrt=Yes",395,137,0.06
"400","33","229","M","Mnrt=Yes",454,58,2.17
